ep 89, loss: 46.96, 6400 train 67.27%, 1600 test 69.75% 
ep 90, loss: 47.53, 6400 train 66.89%, 1600 test 74.69% 
ep 91, loss: 45.45, 6400 train 68.41%, 1600 test 73.62% 
ep 92, loss: 45.92, 6400 train 68.50%, 1600 test 72.31% 
ep 93, loss: 45.80, 6400 train 68.02%, 1600 test 73.56% 
ep 94, loss: 46.66, 6400 train 67.30%, 1600 test 75.50% 
ep 95, loss: 46.90, 6400 train 67.48%, 1600 test 73.38% 
ep 96, loss: 45.62, 6400 train 68.80%, 1600 test 73.31% 
ep 97, loss: 45.87, 6400 train 68.34%, 1600 test 76.44% 
ep 98, loss: 44.74, 6400 train 68.72%, 1600 test 67.25% 
ep 99, loss: 46.20, 6400 train 67.98%, 1600 test 73.56% 
ep 100, loss: 44.54, 6400 train 69.30%, 1600 test 75.00% 
ep 101, loss: 44.85, 6400 train 68.48%, 1600 test 76.69% 
ep 102, loss: 43.94, 6400 train 69.30%, 1600 test 73.88% 
ep 103, loss: 43.89, 6400 train 69.70%, 1600 test 74.50% 
ep 104, loss: 43.83, 6400 train 69.34%, 1600 test 71.50% 
ep 105, loss: 44.85, 6400 train 68.33%, 1600 test 75.50% 
ep 106, loss: 43.88, 6400 train 68.42%, 1600 test 69.56% 
ep 107, loss: 44.64, 6400 train 69.23%, 1600 test 76.50% 
ep 108, loss: 44.22, 6400 train 69.31%, 1600 test 75.06% 
ep 109, loss: 42.63, 6400 train 70.59%, 1600 test 73.12% 
ep 110, loss: 43.13, 6400 train 69.89%, 1600 test 75.56% 
ep 111, loss: 42.35, 6400 train 71.06%, 1600 test 77.31% 
ep 112, loss: 42.60, 6400 train 70.55%, 1600 test 75.75% 
ep 113, loss: 41.48, 6400 train 71.16%, 1600 test 76.25% 
ep 114, loss: 41.34, 6400 train 71.44%, 1600 test 76.06% 
ep 115, loss: 44.17, 6400 train 69.20%, 1600 test 74.69% 
ep 116, loss: 42.65, 6400 train 70.11%, 1600 test 72.62% 
ep 117, loss: 43.04, 6400 train 69.89%, 1600 test 76.38% 
ep 118, loss: 42.08, 6400 train 71.02%, 1600 test 77.38% 
ep 119, loss: 40.71, 6400 train 71.58%, 1600 test 78.44% 
ep 120, loss: 42.49, 6400 train 69.62%, 1600 test 77.25% 
ep 121, loss: 41.09, 6400 train 71.11%, 1600 test 75.62% 
ep 122, loss: 41.61, 6400 train 70.86%, 1600 test 78.19% 
ep 123, loss: 42.45, 6400 train 69.94%, 1600 test 76.69% 
ep 124, loss: 39.98, 6400 train 72.12%, 1600 test 74.12% 
ep 125, loss: 41.27, 6400 train 71.41%, 1600 test 76.25% 
ep 126, loss: 40.27, 6400 train 71.86%, 1600 test 76.00% 
ep 127, loss: 41.66, 6400 train 70.55%, 1600 test 76.00% 
ep 128, loss: 40.31, 6400 train 72.16%, 1600 test 72.94% 
ep 129, loss: 40.79, 6400 train 71.28%, 1600 test 75.69% 
ep 130, loss: 40.70, 6400 train 71.52%, 1600 test 76.81% 
ep 131, loss: 40.40, 6400 train 71.80%, 1600 test 75.00% 
ep 132, loss: 40.33, 6400 train 72.28%, 1600 test 76.38% 
ep 133, loss: 39.93, 6400 train 72.53%, 1600 test 75.69% 
ep 134, loss: 40.05, 6400 train 72.23%, 1600 test 77.50% 
ep 135, loss: 39.90, 6400 train 72.31%, 1600 test 76.50% 
ep 136, loss: 39.27, 6400 train 72.31%, 1600 test 72.50% 
ep 137, loss: 39.65, 6400 train 72.58%, 1600 test 76.19% 
ep 138, loss: 39.19, 6400 train 72.58%, 1600 test 75.56% 
ep 139, loss: 39.43, 6400 train 72.61%, 1600 test 76.75% 
ep 140, loss: 38.70, 6400 train 73.50%, 1600 test 73.81% 
ep 141, loss: 39.30, 6400 train 72.67%, 1600 test 71.81% 
ep 142, loss: 38.57, 6400 train 73.67%, 1600 test 76.94% 
ep 143, loss: 38.56, 6400 train 73.33%, 1600 test 75.31% 
ep 144, loss: 38.87, 6400 train 73.11%, 1600 test 72.00% 
ep 145, loss: 39.12, 6400 train 72.94%, 1600 test 77.81% 
ep 146, loss: 38.95, 6400 train 72.83%, 1600 test 77.81% 
ep 147, loss: 38.16, 6400 train 73.33%, 1600 test 78.94% 
ep 148, loss: 37.43, 6400 train 74.09%, 1600 test 73.19% 
ep 149, loss: 37.56, 6400 train 73.66%, 1600 test 77.69% 
ep 150, loss: 38.09, 6400 train 73.78%, 1600 test 78.00% 
ep 151, loss: 38.41, 6400 train 73.20%, 1600 test 76.88% 
ep 152, loss: 37.99, 6400 train 73.72%, 1600 test 77.62% 
ep 153, loss: 38.43, 6400 train 73.48%, 1600 test 77.12% 
ep 154, loss: 37.10, 6400 train 74.34%, 1600 test 77.38% 
ep 155, loss: 38.43, 6400 train 73.09%, 1600 test 78.50% 
ep 156, loss: 37.70, 6400 train 74.12%, 1600 test 79.31% 
ep 157, loss: 37.10, 6400 train 74.25%, 1600 test 78.25% 
ep 158, loss: 37.38, 6400 train 74.12%, 1600 test 77.75% 
ep 159, loss: 36.74, 6400 train 74.16%, 1600 test 78.19% 
ep 160, loss: 37.41, 6400 train 73.86%, 1600 test 74.94% 
ep 161, loss: 37.41, 6400 train 74.09%, 1600 test 78.50% 
ep 162, loss: 37.20, 6400 train 74.17%, 1600 test 76.81% 
ep 163, loss: 34.82, 6400 train 75.66%, 1600 test 80.75% 
ep 164, loss: 35.96, 6400 train 74.70%, 1600 test 80.44% 
ep 165, loss: 36.84, 6400 train 74.22%, 1600 test 76.81% 
ep 166, loss: 36.91, 6400 train 74.20%, 1600 test 79.56% 
ep 167, loss: 36.25, 6400 train 74.41%, 1600 test 77.81% 
ep 168, loss: 36.25, 6400 train 74.70%, 1600 test 74.88% 
ep 169, loss: 35.47, 6400 train 75.52%, 1600 test 79.50% 
ep 170, loss: 37.70, 6400 train 73.61%, 1600 test 76.94% 
ep 171, loss: 36.45, 6400 train 74.20%, 1600 test 78.69% 
ep 172, loss: 36.11, 6400 train 74.94%, 1600 test 79.19% 
ep 173, loss: 36.09, 6400 train 74.86%, 1600 test 77.44% 
ep 174, loss: 36.32, 6400 train 74.91%, 1600 test 78.75% 
ep 175, loss: 35.73, 6400 train 74.97%, 1600 test 77.81% 
ep 176, loss: 35.19, 6400 train 75.62%, 1600 test 75.81% 
ep 177, loss: 35.94, 6400 train 74.95%, 1600 test 77.88% 
ep 178, loss: 34.44, 6400 train 75.48%, 1600 test 80.12% 
ep 179, loss: 35.59, 6400 train 75.59%, 1600 test 78.62% 
ep 180, loss: 35.18, 6400 train 75.12%, 1600 test 80.00% 
ep 181, loss: 35.57, 6400 train 75.41%, 1600 test 80.38% 
ep 182, loss: 34.53, 6400 train 75.94%, 1600 test 78.94% 
ep 183, loss: 34.06, 6400 train 76.17%, 1600 test 78.25% 
ep 184, loss: 34.48, 6400 train 76.19%, 1600 test 79.44% 
ep 185, loss: 34.30, 6400 train 76.05%, 1600 test 79.69% 
